player,team,role,overseas,points_match1,points_match2,points_match3,points_match4,points_match5,points_match6,points_match7,points_match8,points_match9,points_match10,points_match11,points_match12,points_match13,points_match14,points_q1_e,points_q2,points_final,points_total
Andre Russell,KKR,AR,1,9,12,48,63,32,4,30,57,29,62,99,62,NO,4,NO,NO,NO,511
Mitchell Starc,DC,BOWL,1,107,145,31,8,7,45,8,39,10,97,5,NO,NO,NO,NO,NO,NO,502
Abishek Porel,DC,WK,,8,54,51,12,56,66,27,72,44,29,13,49,18,NO,NO,NO,NO,499
Kuldeep Yadav,DC,BOWL,,64,87,37,60,67,29,34,4,4,5,4,4,40,54,NO,NO,NO,493
Yuzvendra Chahal,PBKS,BOWL,,0,37,2,12,23,120,60,29,4,118,23,4,NO,NO,NO,29,29,490
Rajat Patidar,RCB,BAT,,55,77,18,95,40,4,30,17,13,11,16,NO,23,21,22,NO,39,481
Shimron Hetmyer,RR,BAT,1,73,12,42,48,78,14,28,26,30,12,2,44,32,27,NO,NO,NO,468
Rishabh Pant,LSG,WK,,24,29,6,6,12,29,87,19,2,9,26,20,24,171,NO,NO,NO,464
Mitchell Santner,MI,AR,1,12,35,33,10,12,72,12,43,18,NO,NO,NO,113,61,29,12,NO,462
Sherfane Rutherford,GT,BAT,1,68,30,49,57,13,29,58,4,NO,NO,44,4,67,2,36,NO,NO,461
Sanju Samson,RR,WK,,99,19,27,54,87,20,51,NO,NO,NO,NO,NO,43,58,NO,NO,NO,458
Angkrish Raghuvanshi,KKR,BAT,,44,36,39,75,10,NO,54,42,4,61,59,13,NO,19,NO,NO,NO,456
Khaleel Ahmed,CSK,BOWL,,91,29,66,56,58,-2,29,-2,30,54,6,4,0,33,NO,NO,NO,452
Jofra Archer,RR,BOWL,1,7,18,47,101,41,4,54,29,29,31,42,42,NO,NO,NO,NO,NO,445
Digvesh Singh,LSG,BOWL,,54,35,54,41,29,29,33,4,6,24,50,70,NO,12,NO,NO,NO,441
MS Dhoni,CSK,WK,,16,63,37,55,52,5,74,8,9,26,18,43,22,12,NO,NO,NO,440
Yash Dayal,RCB,BOWL,,29,72,6,66,25,29,4,0,25,27,35,NO,1,6,64,NO,40,429
Aniket Verma,SRH,AR,,13,60,109,19,40,4,26,17,35,15,10,10,51,19,NO,NO,NO,428
Avesh Khan,LSG,BOWL,,NO,25,2,29,25,29,37,107,6,52,22,4,48,27,NO,NO,NO,413
Matheesha Pathirana,CSK,BOWL,1,NO,54,70,37,-2,NO,50,4,4,58,83,4,2,45,NO,NO,NO,409
Eshan Malinga,SRH,BOWL,1,NO,NO,NO,NO,NO,58,62,25,NO,NO,29,70,74,91,NO,NO,NO,409
Rinku Singh,KKR,BAT,,25,4,24,52,70,22,6,32,4,59,42,43,NO,23,NO,NO,NO,406
Ayush Mhatre,CSK,BAT,,NO,NO,NO,NO,NO,NO,NO,62,56,12,131,10,67,65,NO,NO,NO,403
Shardul Thakur,LSG,AR,,52,112,9,33,48,70,5,33,-2,NO,NO,42,NO,NO,NO,NO,NO,402
Vaibhav Suryavanshi,RR,AR,,NO,NO,NO,NO,NO,NO,NO,56,26,156,2,9,66,87,NO,NO,NO,402
Rashid Khan,GT,AR,1,23,16,-2,12,93,33,4,56,39,4,41,4,2,50,20,NO,NO,395
Deepak Chahar,MI,BOWL,,69,29,54,8,-2,29,0,29,60,-1,39,36,29,16,NO,NO,NO,395
Dewald Brevis,CSK,AR,1,NO,NO,NO,NO,NO,NO,NO,NO,63,60,18,90,70,89,NO,NO,NO,390
Mukesh Kumar,DC,BOWL,,25,4,37,41,29,2,27,144,-2,4,NO,NO,56,23,NO,NO,NO,390
Devdutt Padikkal,RCB,BAT,,15,43,9,57,5,65,NO,92,78,2,24,NO,NO,NO,NO,NO,NO,390
Nitish Kumar Reddy,SRH,AR,,50,50,2,27,42,12,24,6,27,44,NO,51,35,20,NO,NO,NO,390
Tim David,RCB,BAT,1,4,39,53,21,69,4,95,20,41,28,6,NO,5,NO,NO,NO,NO,385
Shahrukh Khan,GT,BAT,,12,15,4,4,58,25,4,25,10,20,19,4,94,52,19,NO,NO,365
Jaydev Unadkat,SRH,BOWL,,NO,NO,NO,NO,4,NO,NO,37,54,91,35,NO,27,105,NO,NO,NO,353
Wanindu Hasaranga,RR,AR,1,NO,29,124,45,NO,0,35,54,30,4,NO,2,-2,31,NO,NO,NO,352
Nitish Rana,RR,BAT,,17,12,119,18,5,9,79,14,53,9,15,NO,NO,NO,NO,NO,NO,350
Ashutosh Sharma,DC,BAT,,99,NO,5,20,23,23,59,4,6,13,61,4,25,4,NO,NO,NO,346
Karun Nair,DC,BAT,,NO,NO,NO,NO,129,2,63,23,29,29,2,NO,NO,65,NO,NO,NO,342
Faf du Plessis,DC,BAT,1,52,93,NO,6,NO,NO,NO,NO,28,87,7,5,11,43,NO,NO,NO,332
Maheesh Theekshana,RR,BOWL,1,48,11,6,56,61,2,27,4,NO,54,35,27,NO,NO,NO,NO,NO,331
Abdul Samad,LSG,BAT,,NO,46,43,17,11,6,34,52,6,6,69,7,12,13,NO,NO,NO,322
Harpreet Brar,PBKS,BOWL,,NO,NO,NO,NO,NO,NO,56,31,4,27,NO,95,69,29,8,NO,NO,319
Azmatullah Omarzai,PBKS,AR,1,18,NO,NO,NO,NO,NO,NO,NO,4,37,54,82,1,NO,29,52,38,315
Romario Shepherd,RCB,AR,1,NO,NO,NO,NO,NO,NO,NO,29,12,4,95,NO,68,23,37,NO,47,315
Ravi Bishnoi,LSG,BOWL,,48,35,6,18,25,62,64,6,-2,44,NO,4,NO,NO,NO,NO,NO,310
